,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
231,1965-86-9929,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","September 9, 1937",Image and sheet: 7 7/16 × 9 15/16 inches (18.9 × 25.2 cm),"Photograph taken in New York, New York, United States, North and Central America",248549,Currently not on view,Gelatin silver print,,"USS Maine Monument in Columbus Circle, Manhattan",http://www.philamuseum.org/collections/permanent/248549.html
232,1956-75-34,"Artist/maker unknown, Indian",,"Purchased from the Stella Kramrisch Collection with funds contributed by R. Sturgis Ingersoll, Nelson Rockefeller, and other generous donors, the bequest of Sophia Cadwalader, the Popular Subscription Fund, and proceeds from the sale of deaccessioned works of art, 1956",South Asian Art,10th century,"4 1/4 × 2 3/8 × 3 inches (10.8 × 6 × 7.6 cm)
Mount: 2 3/4 × 2 1/2 × 2 1/2 inches (7 × 6.4 × 6.4 cm)","Made in India, Asia Period: Medieval Period",56728,Currently not on view,Sandstone,,Male Head,http://www.philamuseum.org/collections/permanent/56728.html
233,1985-52-37118,"Jacques Rigaud, French, c. 1681 - 1754",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1732,"Plate: 9 1/16 x 16 15/16 inches (23 x 43 cm)
Sheet: 13 1/2 x 18 7/16 inches (34.3 x 46.8 cm)","Made in Paris, France, Europe",7064,Currently not on view,Etching and engraving,Attaque et logement du chemin couvert,Attack and Effecting a Lodgment of the Covered Road,http://www.philamuseum.org/collections/permanent/7064.html
234,1984-148-8,"Philip Guston, American, 1913 - 1980. Printed by Gemini G.E.L., Los Angeles. Printed by Christine Fox. Printed by Chris Sukimoto. Collaborator Serge Lozingot. Collaborator Anthony Zepeda. Published by Gemini G.E.L., Los Angeles.","© The Estate of Philip Guston, courtesy McKee Gallery, New York","Gift of David McKee, Inc., 1984","Prints, Drawings, and Photographs",1979-1980,Sheet: 32 x 42 1/2 inches (81.3 x 108 cm),"Printed in Los Angeles, California, United States, North and Central America",268699,Currently not on view,Lithograph,from Gemini G.E.L. Set 3,Gulf,http://www.philamuseum.org/collections/permanent/268699.html
235,1965-86-1171,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","June 3, 1935",Image and sheet: 13 7/8 × 10 7/8 inches (35.3 × 27.7 cm),"Photograph taken in Spain, Europe",236083,Currently not on view,Gelatin silver print,,"The Patio of El Pardo, Madrid",http://www.philamuseum.org/collections/permanent/236083.html
236,1900-24,"Made by John Vickers, American, died 1860",,"Purchased with the Baugh-Barber Fund, 1900",American Art,1831,"Height: 2 1/2 inches (6.4 cm)
Diameter: 8 1/2 inches (21.6 cm)","Made in Lionville, Chester County, Pennsylvania, United States, North and Central America",124359,Currently not on view,Red earthenware,,Plate Mold,http://www.philamuseum.org/collections/permanent/124359.html
237,2014-199-180,"Aaron Siskind, American, 1903 - 1991",,"Gift of Harvey S. Shipley Miller, 2014","Prints, Drawings, and Photographs",1955,"Image and sheet: 4 11/16 × 7 3/8 inches (11.9 × 18.7 cm)
Mount: 11 × 14 inches (27.9 × 35.6 cm)","Photograph taken in United States, North and Central America",332597,Currently not on view,Gelatin silver print,,Untitled (Baby Pictures on Wall),http://www.philamuseum.org/collections/permanent/332597.html
238,1965-95-455b,"Anthony Velonis, American, 1911 - 1997",,"Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1965","Prints, Drawings, and Photographs",c. 1938-1941,"Image: 6 1/2 x 8 5/8 inches (16.5 x 21.9 cm)
Sheet: 7 x 9 1/8 inches (17.8 x 23.2 cm)","Made in United States, North and Central America",61184,Currently not on view,"Screenprint, printed in light blue/gray ink",,Washington Square,http://www.philamuseum.org/collections/permanent/61184.html
239,1940-16-373a,"Artist/maker unknown, English",,"Bequest of R. Wistar Harvey, 1940",European Decorative Arts and Sculpture,c. 1820,15/16 x 9 3/4 inches (2.4 x 24.8 cm),"Made in England, Europe",181097,Currently not on view,Lead-glazed earthenware with underglaze and overglaze decoration,,Plate,http://www.philamuseum.org/collections/permanent/181097.html
240,1985-52-9540,"Johann Christian Klengel, German, 1751 - 1824",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1780-1800,"Plate: 2 7/8 x 2 5/16 inches (7.3 x 5.9 cm)
Sheet: 3 5/16 x 2 3/4 inches (8.4 x 7 cm)","Made in Dresden, Saxony, Germany, Europe",17012,Currently not on view,Etching,,"Boy Kneeling at a Low Table, with a Cat beside Him",http://www.philamuseum.org/collections/permanent/17012.html
241,1945-48-11,"Hananiah Harari, American, 1912 - 2000",,"Print Club of Philadelphia Permanent Collection, 1945","Prints, Drawings, and Photographs",1938,"Image: 18 x 12 inches (45.7 x 30.5 cm)
Sheet: 24 x 19 1/8inches (61 x 48.6cm)","Made in United States, North and Central America",49608,Currently not on view,Color screenprint,,City Signs,http://www.philamuseum.org/collections/permanent/49608.html
242,1965-86-4508,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","February 9, 1935",Image and sheet: 7 3/16 × 9 5/16 inches (18.2 × 23.7 cm),"Photograph taken in United States, North and Central America",240115,Currently not on view,Gelatin silver print,,"Ellen Glasgow's Dogs, Billy and Pal",http://www.philamuseum.org/collections/permanent/240115.html
243,1989-8-7,"Artist/maker unknown, American. Commissioned by Bright's Kidney Bean Co., Little Falls, New York.",,"The William H. Helfand Collection, 1989","Prints, Drawings, and Photographs",1890s,Sheet: 6 1/8 x 4 3/8 inches (15.6 x 11.1 cm),,85570,Currently not on view,Chromolithograph (trade card),Don't Be a Clam and Shut Yourself Up Against the Best Kidney in the World,Bright's Kidney Beans,http://www.philamuseum.org/collections/permanent/85570.html
244,1984-94-16,"Burk Uzzle, American, born 1938",,"Purchased with the Lola Downin Peck Fund and with funds contributed by Mr. and Mrs. John Medveckis, Douglas Mellor, Ross Watson, and other donors, 1984","Prints, Drawings, and Photographs",1982,"Image: 18 7/16 × 12 1/8 inches (46.8 × 30.8 cm)
Sheet: 19 15/16 × 15 7/8 inches (50.7 × 40.3 cm)","Photograph taken in Daytona Beach, Florida, United States, North and Central America",220839,Currently not on view,Gelatin silver print,,"Daytona Beach, Florida",http://www.philamuseum.org/collections/permanent/220839.html
245,1950-134-130,"Henri Matisse, French, 1869 - 1954","© Succession H. Matisse, Paris / Artists Rights Society (ARS), New York","The Louise and Walter Arensberg Collection, 1950",European Painting,1914,"58 x 38 3/8 inches (147.3 x 97.5 cm)
Framed: 59 1/2 x 40 1/16 x 1 1/2 inches (151.1 x 101.8 x 3.8 cm)","Made in France, Europe",51047,"Gallery 172, Modern and Contemporary Art, first floor",Oil on canvas,,Mademoiselle Yvonne Landsberg,http://www.philamuseum.org/collections/permanent/51047.html
246,2001-62-1708,"Eugène Atget, French, 1857 - 1927. After Artist/maker unknown. Printed by Berenice Abbott, American, 1898 - 1991. Formerly attributed to Artist/maker unknown.",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",1924-1925 (negative); c. 1930 (print),Image and sheet: 8 7/8 x 6 7/8 inches (22.5 x 17.4 cm),"Photograph taken in France, Europe",112833,Currently not on view,Gelatin silver print,,Copy Print of a Female Nude,http://www.philamuseum.org/collections/permanent/112833.html
247,1985-52-42052,"Hermann Dyck, German, 1812 - 1874. Published by Julius Buddeus, Düsseldorf, active early 19th century.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1839,Sheet: 9 1/16 x 5 9/16 inches (22.9 x 14.2 cm),"Made in Düsseldorf, North Rhine-Westphalia, Germany, Europe",18321,Currently not on view,Cast metal type,Series of eight etchings,"Title Page from Deutsche Sprüchwörter und Reime in Bildern entworfen von Hermann Dyck. Erste Lieferung. (Düsseldorf: J. Buddeus, 1839)",http://www.philamuseum.org/collections/permanent/18321.html
248,1985-52-18140,"Auguste Constantin, French, 1824 - 1895",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1863,"Plate: 13 5/16 x 9 7/16 inches (33.8 x 23.9 cm)
Sheet: 15 1/16 x 11 1/16 inches (38.3 x 28 cm)","Made in Paris, France, Europe",1415,Currently not on view,Etching with plate tone,Les Laveuses,The Washerwomen,http://www.philamuseum.org/collections/permanent/1415.html
249,2012-176-338,"Paul Strand, American, 1890 - 1976",© Paul Strand Archive/Aperture Foundation,"The Paul Strand Collection, purchased with The Henry McIlhenny Fund in Memory of Frances P. McIlhenny and other Museum funds, 2012","Prints, Drawings, and Photographs",1963 (negative); 1964 (print),"Image: 9 5/8 × 7 1/2 inches (24.4 × 19.1 cm)
Sheet: 9 13/16 × 7 11/16 inches (24.9 × 19.5 cm)","Photograph taken in Ankukrom, Ghana, Africa",314236,Currently not on view,Gelatin silver print,,"Tombstone, Ankukrom, Ghana",http://www.philamuseum.org/collections/permanent/314236.html
250,1942-30-65,"Jerome Myers, American, 1867 - 1940. After a drawing of c. 1920 by Jerome Myers, American, 1867 - 1940. Printed by George C. Miller, American, 1894 - 1965.",,"Purchased with the Thomas Skelton Harrison Fund, 1942","Prints, Drawings, and Photographs",c. 1920,"Image: 8 3/4 x 7 1/2 inches (22.2 x 19.1 cm)
Sheet: 16 1/4 x 11 7/8 inches (41.3 x 30.2 cm)","Made in United States, North and Central America",47625,Currently not on view,Lithograph,,Self-Portrait,http://www.philamuseum.org/collections/permanent/47625.html
251,1972-50-47,"Paul de Lamerie, English (born Netherlands), 1688 - 1751",,"Bequest of George D. Widener, 1972",European Decorative Arts and Sculpture,1741-1742,Width: 15 15/16 inches (40.5 cm),"Made in London, England, Europe",199800,Currently not on view,Silver,,Serving Dish,http://www.philamuseum.org/collections/permanent/199800.html
252,1985-52-30818,"Cornelis Galle I, Flemish, 1576 - 1650. After Francesco Vanni, Italian, 1563 - 1610.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1600,Sheet: 11 x 7 1/2 inches (28 x 19 cm),"Made in Southern Netherlands (modern Belgium), Europe",79913,Currently not on view,Engraving,,The Virgin Feeding the Child from a Dish Held by an Angel,http://www.philamuseum.org/collections/permanent/79913.html
253,Cat. 1159,"Artist/maker unknown, Turkish",,"John G. Johnson Collection, 1917",East Asian Art,17th century?,5 feet 10 1/2 inches x 3 feet 8 inches (179 x 112 cm),"Possibly made in Konya Province, Anatolia, Turkey, Asia",256777,Currently not on view,Wool and goat hair,,"""Lotto"" Rug",http://www.philamuseum.org/collections/permanent/256777.html
254,1975-176-24,"Herbert S. Pullinger, American, 1878 - 1961",Research inconclusive. Copyright may apply.,"Gift of Martin Snyder, 1975","Prints, Drawings, and Photographs",1920s-1950s,"Image: 6 5/16 x 8 1/16 inches (16 x 20.5 cm)
Sheet: 8 9/16 x 11 3/8 inches (21.7 x 28.9 cm)","Made in United States, North and Central America",70089,Currently not on view,Wood engraving,,The Country Store,http://www.philamuseum.org/collections/permanent/70089.html
255,1905-72h,"Artist/maker unknown, French",,"Gift of Samuel B. Dean in memory of Mrs. John Harrison, 1905",Costume and Textiles,1715-1774,7 1/16 x 1 1/4 inches (17.9 x 3.2 cm),"Made in France, Europe",135254,Currently not on view,"Silk, gold thread",,Galloon,http://www.philamuseum.org/collections/permanent/135254.html
256,1965-86-10489,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","May 15, 1939",Image and sheet: 7 15/16 × 9 15/16 inches (20.1 × 25.2 cm),"Photograph taken in New York, New York, United States, North and Central America",249657,Currently not on view,Gelatin silver print,Billy Rose's Aquacade,1939 New York World's Fair,http://www.philamuseum.org/collections/permanent/249657.html
257,1971-2-253,"Rockwell Kent, American, 1882 - 1971","© Plattsburgh State Art Museum, State University of New York, USA, Rockwell Kent Collection, Bequest of Sally Kent Gorton, All rights reserved.","Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1971","Prints, Drawings, and Photographs",1919,"Image: 2 x 5 inches (5.1 x 12.7 cm)
Sheet: 2 3/8 x 5 5/16 inches (6 x 13.5 cm)","Made in United States, North and Central America",66833,Currently not on view,"Brush, pen, and black ink, traces of graphite on off-white wove paper",,Evening Star,http://www.philamuseum.org/collections/permanent/66833.html
258,1985-52-3788,"Gideon Fairman, American, 1774 - 1827. Printed by Perkins, Fairman & Heath, London.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Early 1820s,"Plate: 4 3/8 x 10 3/8 inches (11.1 x 26.3 cm)
Sheet: 8 11/16 x 12 inches (22 x 30.5 cm)","Made in London, England, Europe",186920,Currently not on view,Etching and engraving,,Promisory Note,http://www.philamuseum.org/collections/permanent/186920.html
259,1969-281-1,"Possibly made by the New England Glass Company, East Cambridge, Massachusetts, 1818 - 1888",,"Gift of Mrs. Jerome B. Gray, 1969",American Art,1818-1830,10 1/4 x 5 1/4 inches (26 x 13.3 cm),"Possibly made in East Cambridge, Massachusetts, United States, North and Central America Period: antebellum",258982,"Gallery 114, American Art, first floor, Case 6, Tableware & Lighting Devices",Free-blown lead glass; applied base (colorless),,Whale Oil Lamp with burner,http://www.philamuseum.org/collections/permanent/258982.html
260,1985-52-14626,"Gerdt Hardorff the Elder, German, 1769 - 1864",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1800-1815,"Plate: 4 7/16 x 3 3/4 inches (11.2 x 9.5 cm)
Sheet: 5 1/16 x 4 7/16 inches (12.8 x 11.2 cm)","Made in Hamburg, Germany, Europe",9049,Currently not on view,Etching,"Plate from Radirte Blätter von G. Hardorff - Erste Sammlung (Hamburg: R. Sickmann, 1815)",Pancake Baker,http://www.philamuseum.org/collections/permanent/9049.html
261,1985-52-729,"Crispijn de Passe I, Dutch, 1564 - 1637",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1599,Sheet: 4 x 5 7/8 inches (10.1 x 15 cm),"Made in Cologne, North Rhine-Westphalia, Germany, Europe",20866,Currently not on view,Engraving,Plate 14 from Hortus Voluptatum,"Young Man with a Page, Bidding Farewell to a Lady",http://www.philamuseum.org/collections/permanent/20866.html
262,1953-118-36,"George Biddle, American, 1885 - 1973. Printed by Rudolfo Bulla.",© Estate of George Biddle,"Gift of the artist, 1953","Prints, Drawings, and Photographs",1952,"Image: 7 3/8 × 12 1/2 inches (18.7 × 31.8 cm)
Sheet: 9 3/8 × 13 3/4 inches (23.8 × 34.9 cm)",,231934,Currently not on view,Lithograph,,The Master Race,http://www.philamuseum.org/collections/permanent/231934.html
263,2010-14-231,"Paul Strand, American, 1890 - 1976",© Paul Strand Archive/Aperture Foundation,"The Paul Strand Collection, purchased with Museum funds, 2010","Prints, Drawings, and Photographs",1971 (negative); 1971 (print),"Image: 9 1/16 × 11 5/16 inches (23 × 28.7 cm)
Sheet: 9 7/16 × 11 11/16 inches (24 × 29.7 cm)","Photograph taken in Corea, Maine, United States, North and Central America",313559,Currently not on view,Gelatin silver print,,"Corea Revisited, Maine",http://www.philamuseum.org/collections/permanent/313559.html
264,1970-252-2,"Joseph Ward, English (active London), freeman January 4, 1689",,"Gift of Mr. and Mrs. Gordon A. Hardwick, 1970",European Decorative Arts and Sculpture,1703-1704,4 x 5 3/16 x 3 11/16 inches (10.1 x 13.1 x 9.3 cm),"Made in London, England, Europe",200531,Currently not on view,Silver,,Mug,http://www.philamuseum.org/collections/permanent/200531.html
265,1985-52-14875,"Georg Heinrich Busse, German, 1810 - 1868",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1841,"Plate: 4 1/2 x 8 1/2 inches (11.5 x 21.6 cm)
Sheet: 6 5/16 x 10 7/16 inches (16.1 x 26.5 cm)","Made in Rome, Italy, Europe",11463,Currently not on view,Etching and drypoint with plate tone,,"A Farmhouse near Bennemühlen, Busse's Hometown in Hanover",http://www.philamuseum.org/collections/permanent/11463.html
266,2014-199-262(35),"Artist/maker unknown, Mexican?",,"Gift of Harvey S. Shipley Miller, 2014","Prints, Drawings, and Photographs",c. 1870s,"Image and sheet: 9 1/4 × 7 1/2 inches (23.5 × 19.1 cm)
Mount: 10 3/4 × 8 1/8 inches (27.3 × 20.6 cm)","Photograph taken in Italy, Europe",333689,Currently not on view,Albumen silver print,From an Album of Architectural Views in Italy,Patio de un palacio en la Pescadería,http://www.philamuseum.org/collections/permanent/333689.html
267,1969-232-20,"Designed by Elsa Schiaparelli, French (born Italy), 1890 - 1973. Embroidered by Lesage, Paris, founded 1922.",,"Gift of Mme Elsa Schiaparelli, 1969",Costume and Textiles,Summer 1945,Center Back Length: 24 1/2 inches (62.2 cm),"Made in Paris, France, Europe",125047,Currently not on view,"Rayon crepe, gold and silk thread embroidery",,Woman's Dinner Jacket,http://www.philamuseum.org/collections/permanent/125047.html
268,1968-68-57,"Reproduction after Walker Evans, American, 1903 - 1975",,"From the Collection of Dorothy Norman, 1968","Prints, Drawings, and Photographs",1962,Sheet (irregular): 12 7/8 × 9 1/4 inches (32.7 × 23.5 cm),"Made in United States, North and Central America",246564,Currently not on view,Photomechanical reproduction,,"Walker Evans: The Unposed Portrait, Page from Harper's Bazaar, March 1962",http://www.philamuseum.org/collections/permanent/246564.html
269,1985-52-7130,"Artist/maker unknown, British. After a crayon drawing by William Henry Furness Jr., American, 1827 - 1867.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1851 (1860 edition),"Plate: 9 1/4 x 6 5/16 inches (23.5 x 16.1 cm)
Sheet: 11 7/8 x 9 5/16 inches (30.2 x 23.7 cm)","Made in London, England, Europe",269587,Currently not on view,Stipple engraving (proof before text of poem),"Also known as Alice B. Haven and Clara CushmanPlate from Henry Coppée (ed.), A Gallery of Distinguished English and American Female Poets (Philadelphia: E. H. Butler, 1860)","Portrait of Alice B. Neal (1827-1863), American Writer",http://www.philamuseum.org/collections/permanent/269587.html
270,1986-80-5a,"Artist/maker unknown, Chinese, for export to the American market",,"Gift of John R. Young, 1986",American Art,1790-1810,2 1/2 × 4 1/4 × 3 5/8 inches (6.4 × 10.8 × 9.2 cm),"Made in China, Asia",83101,Currently not on view,Hard-paste porcelain,,Teabowl,http://www.philamuseum.org/collections/permanent/83101.html
271,1930-64-16,"Artist/maker unknown, Eastern European",,"Purchased with funds contributed by Mrs. Edward Bok from the Madeleine Lemercier Collection, 1930",European Decorative Arts and Sculpture,18th century,2 × 2 15/16 × 3/16 inches (5.1 × 7.5 × 0.5 cm),"Made in eastern Europe, Europe",163012,Currently not on view,Boxwood or cypress,,Relief with Religious Scene,http://www.philamuseum.org/collections/permanent/163012.html
272,1959-132-11,"Made by the Bow porcelain factory, London, c. 1748 - 1774",,"Gift of Gordon A. Hardwick in memory of Marjory Taylor Hardwick, 1959",European Decorative Arts and Sculpture,c. 1770,Diameter: 9 1/4 inches (23.5 cm),"Made in London, England, Europe",57436,"Gallery 269, European Art 1500-1850, second floor (Boyer Gallery)",Soft-paste porcelain with underglaze blue decoration,,Plate,http://www.philamuseum.org/collections/permanent/57436.html
273,1985-52-35822,"Robert Nanteuil, French, 1623 - 1678",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1658,Sheet: 9 13/16 x 7 1/16 inches (25 x 18 cm),"Made in France, Europe",5673,Currently not on view,Engraving,,"Portrait of Jean Loret (c. 1600-1665), French Writer and Poet",http://www.philamuseum.org/collections/permanent/5673.html
274,"1979-39-30a,b","Artist/maker unknown, American",,"Gift of Mrs. William H. Steeble, 1979",Costume and Textiles,Mid- 20th century,,"Possibly made in United States, North and Central America",192955,Currently not on view,"Purple silk velvetCuratorial Department: Costume and TextilesObject Location:Currently not on viewAccession Number: 1979-39-30a,bCredit Line: Gift of Mrs. William H. Steeble, 1979",,Woman's Gloves,http://www.philamuseum.org/collections/permanent/192955.html
275,1968-203-2,"Probably by Amelia C. Van Buren, American, c. 1856 - 1942. Possibly by Eva Watson-Schütze, American, 1867 - 1935. Circle of Thomas Eakins, American, 1844 - 1916.",,"Gift of Seymour Adelman, 1968","Prints, Drawings, and Photographs",c. 1893-1897,"Image and sheet: 3 3/8 × 5 5/16 inches (8.6 × 13.5 cm)
Mount (modern): 6 1/2 × 9 inches (16.5 × 22.9 cm)","Probably made in Atlantic City, New Jersey, United States, North and Central America",63793,Currently not on view,Platinum print,,Amelia C. Van Buren with a Cat,http://www.philamuseum.org/collections/permanent/63793.html
276,1946-66-42a,"Kitagawa Utamaro I, Japanese, 1753 - 1806. Published by Tsuruya Kiemon.",,"Gift of Mrs. Anne Archbold, 1946","Prints, Drawings, and Photographs",c. 1799,"Ōban tate-e, from a twelve-sheet print: 15 3/8 × 10 1/8 inches (39.1 × 25.7 cm)","Made in Japan, Asia Period: Edo Period (1615-1868)",203038,Currently not on view,Color woodcut,From the series Silkworm Culture: Handiwork of Women (Joshoku kaiko tewaza gusa),Tending the Newly Hatched Worms (No.1),http://www.philamuseum.org/collections/permanent/203038.html
277,1994-148-207,"Artist/maker unknown, Indian",,"Stella Kramrisch Collection, 1994",South Asian Art,17th - 19th century,5 5/8 × 2 13/16 × 4 5/8 inches (14.3 × 7.1 × 11.7 cm),"Made in Bengal Region, Bangladesh, Asia or made in West Bengal, Bengal Region, India, Asia",88054,Currently not on view,"Metal alloy resin-thread technique, a regional variation of lost-wax casting (dhokra)",,Antelope,http://www.philamuseum.org/collections/permanent/88054.html
278,1941-46-1,"Artist/maker unknown, Belgian",,"Gift of Miss Mary Roberts Coles and Mrs. George S. Robbins, 1941",Costume and Textiles,Early 18th century,19 15/16 x 4 inches (50.7 x 10.1 cm),"Made in Brussels, Belgium, Europe",193493,Currently not on view,Linen bobbin lace (point d'Angleterre),,Lace Lappet,http://www.philamuseum.org/collections/permanent/193493.html
279,2011-148-14,"John Moran, American (born England), 1831 - 1903. Printed at Moran & Storey, Philadelphia.",,"Purchased with funds contributed by Peter C. Bunnell, Mr. Trevor R. Drake and Ms. Anne R. Albright, 2011","Prints, Drawings, and Photographs",1860s,"Image (each): 3 1/8 x 3 1/8 inches (7.9 x 7.9 cm)
Mount: 3 5/8 x 6 13/16 inches (9.2 x 17.3 cm)","Photograph taken in Delaware Water Gap, Pennsylvania, United States, North and Central America Printed in Philadelphia, Pennsylvania, United States, North and Central America",320193,Currently not on view,"Albumen silver print, stereograph","From the series Scenery in the Region of the Delaware Water Gap, Pennsylvania","Marshall's Falls, Marshall's Creek",http://www.philamuseum.org/collections/permanent/320193.html
280,"1980-120-4a,b","Artist/maker unknown, Chinese",,"Gift of Mrs. E. Paul du Pont, 1980",East Asian Art,Mid- 17th century,3 1/8 x 5 7/8 inches (7.9 x 14.9 cm),"Made in China, Asia",73580,Currently not on view,Porcelain with white glaze (Dehua ware),,Censer,http://www.philamuseum.org/collections/permanent/73580.html
281,1940-16-546,"Artist/maker unknown, French",,"Bequest of R. Wistar Harvey, 1940",European Decorative Arts and Sculpture,Early 19th century,15 1/2 x 12 inches (39.4 x 30.5 cm),"Made in France, Europe",168147,Currently not on view,Hard-paste porcelain with enamel and gilt decoration,,Vase,http://www.philamuseum.org/collections/permanent/168147.html
282,2006-110-28,"Designed by Kaj Franck, Finnish, 1911 - 1989. Made by Oy Wärtsilä Ab Arabia, Helsinki, Finland, 1874-present.",,"Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 2006",European Decorative Arts and Sculpture,Designed 1948-1952,1 1/8 × 9 1/4 inches (2.9 × 23.5 cm),,299106,Currently not on view,Glazed earthenware,,"Plate from the ""Kilta"" Service",http://www.philamuseum.org/collections/permanent/299106.html
